airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
841394344184198064,661.0,600.0,31,2025-01-21,2025-03-31,31
844864653127085626,1017.7017539473684,1090.0,76,2025-01-12,2025-04-20,76
850675824952359571,806.7647058823529,802.0,68,2025-01-10,2025-03-31,68
850931966820064700,786.3728830508475,720.0,59,2025-01-27,2025-04-20,59
856482117556875618,370.0,370.0,26,2025-03-22,2025-04-16,26
859653300578357102,702.0,702.0,57,2025-01-28,2025-03-31,57
859925561562240250,792.8275862068965,704.0,29,2025-02-24,2025-03-31,29
863830918159371125,329.46268656716416,306.0,67,2025-01-31,2025-04-20,67
869504505210568410,1162.5,1250.0,80,2025-01-23,2025-04-20,80
871084107630048364,444.44444444444446,450.0,54,2025-02-09,2025-04-20,54
873125740517449213,467.1488095238095,446.0,84,2025-01-17,2025-04-20,84
873255393900331818,673.2278481012659,535.0,79,2025-02-01,2025-04-20,79
873260132509992833,405.46153846153845,400.0,13,2025-02-15,2025-02-27,13
881204142086821328,558.2352941176471,550.0,68,2025-01-28,2025-04-20,68
883930877150990341,109.0,109.0,5,2025-04-02,2025-04-06,5
892662939259281401,1500.0,1500.0,13,2025-01-11,2025-01-31,13
892721989592935461,373.44897959183675,350.0,49,2025-01-19,2025-04-16,49
894985131313802009,653.0955882352941,575.0,68,2025-02-07,2025-04-20,68
897144549301156856,950.1428571428571,850.0,35,2025-01-07,2025-03-05,35
900757690500508426,645.9666666666667,635.0,60,2025-01-12,2025-04-17,60
902324773092897293,1203.8461538461538,1250.0,13,2025-01-09,2025-01-23,13
904512525045117852,542.7883720930233,550.0,43,2025-01-24,2025-04-16,43
906701409648697471,542.0175438596491,598.0,57,2025-02-07,2025-04-20,57
910707550951342167,2000.0,2000.0,2,2025-04-06,2025-04-07,2
910815231577364751,519.4307692307692,400.0,65,2025-01-13,2025-04-20,65
911476333007658783,257.311320754717,250.0,53,2025-01-27,2025-04-17,53
912678193847993947,300.6363636363636,300.0,77,2025-01-08,2025-04-06,77
913929715874853789,966.25245,899.0,68,2025-01-15,2025-04-20,68
914342944500490787,694.1150785714285,583.0,42,2025-02-24,2025-04-06,42
915332897455058900,1075.0036764705883,928.0,68,2025-01-31,2025-04-20,68
916052715744473224,1182.8703703703704,1150.0,54,2025-01-06,2025-02-28,54
923133320997277084,437.0,550.0,53,2025-01-18,2025-04-16,53
929120660817262874,735.3622448979592,699.0,98,2025-01-13,2025-04-20,98
